clin values
-5.135135135135135420e-02 5.035725720663237759e+00
-5.075075075075075048e-02 5.032338571839410690e+00
-5.015015015015014677e-02 5.028833797267569850e+00
-4.954954954954954305e-02 5.025211645936868976e+00
-4.894894894894896709e-02 5.021472375052847603e+00
-4.834834834834833561e-02 5.017616250006987855e+00
-4.774774774774775965e-02 5.013643544345331549e+00
-4.714714714714712818e-02 5.009554539736127410e+00
-4.654654654654655221e-02 5.005349525936565236e+00
-4.594594594594592074e-02 5.001028800758534842e+00
-4.534534534534534478e-02 4.996592670033492389e+00
-4.474474474474476882e-02 4.992041447576376356e+00
-4.414414414414413734e-02 4.987375455148606918e+00
-4.354354354354356138e-02 4.982595022420181152e+00
-4.294294294294292991e-02 4.977700486930850765e+00
-4.234234234234235394e-02 4.972692194050410741e+00
-4.174174174174172247e-02 4.967570496938071400e+00
-4.114114114114114651e-02 4.962335756500972472e+00
-4.054054054054051504e-02 4.956988341351791227e+00
-3.993993993993993907e-02 4.951528627765489965e+00
-3.933933933933936311e-02 4.945956999635193974e+00
-3.873873873873873164e-02 4.940273848427206183e+00
-3.813813813813815567e-02 4.934479573135174491e+00
-3.753753753753752420e-02 4.928574580233409996e+00
-3.693693693693694824e-02 4.922559283629375670e+00
-3.633633633633631677e-02 4.916434104615331258e+00
-3.573573573573574080e-02 4.910199471819176154e+00
-3.513513513513510933e-02 4.903855821154460060e+00
-3.453453453453453337e-02 4.897403595769603157e+00
-3.393393393393395741e-02 4.890843245996311595e+00
-3.333333333333332593e-02 4.884175229297203380e+00
-3.273273273273274997e-02 4.877400010212661563e+00
-3.213213213213211850e-02 4.870518060306907593e+00
-3.153153153153154253e-02 4.863529858113317061e+00
-3.093093093093091106e-02 4.856435889078984047e+00
-3.033033033033033510e-02 4.849236645508533172e+00
-2.972972972972970362e-02 4.841932626507198911e+00
-2.912912912912912766e-02 4.834524337923188142e+00
-2.852852852852855170e-02 4.827012292289308171e+00
-2.792792792792792023e-02 4.819397008763898427e+00
-2.732732732732734426e-02 4.811679013071064936e+00
-2.672672672672671279e-02 4.803858837440220242e+00
-2.612612612612613683e-02 4.795937020544949192e+00
-2.552552552552550535e-02 4.787914107441200606e+00
-2.492492492492492939e-02 4.779790649504828792e+00
-2.432432432432429792e-02 4.771567204368471593e+00
-2.372372372372372196e-02 4.763244335857811151e+00
-2.312312312312314599e-02 4.754822613927177422e+00
-2.252252252252251452e-02 4.746302614594562819e+00
-2.192192192192193856e-02 4.737684919876008038e+00
-2.132132132132130709e-02 4.728970117719396349e+00
