xlin values
2.672672672672673500e-01 4.669365516846467612e-01
2.732732732732734426e-01 4.675781365844044468e-01
2.792792792792790912e-01 4.681789970976637516e-01
2.852852852852851839e-01 4.687389038685554898e-01
2.912912912912912766e-01 4.692576401904427486e-01
2.972972972972973693e-01 4.697350020758548350e-01
3.033033033033034620e-01 4.701707983207765729e-01
3.093093093093091106e-01 4.705648505632571421e-01
3.153153153153152033e-01 4.709169933363098748e-01
3.213213213213212960e-01 4.712270741150771936e-01
3.273273273273273887e-01 4.714949533582353247e-01
3.333333333333334814e-01 4.717205045436214106e-01
3.393393393393391300e-01 4.719036141980645360e-01
3.453453453453452227e-01 4.720441819214070689e-01
3.513513513513513153e-01 4.721421204047079878e-01
3.573573573573574080e-01 4.721973554426203146e-01
3.633633633633635007e-01 4.722098259399387654e-01
